formatted_date,high,low,open,close,volume,adjclose
2022-02-04,41527.78515625,37093.62890625,37149.265625,41500.875,29412210792,41500.875
2022-02-05,41847.1640625,41038.09765625,41501.48046875,41441.1640625,19652846215,41441.1640625
2022-02-06,42500.78515625,41244.90625,41441.12109375,42412.43359375,16142097334,42412.43359375
2022-02-07,44401.86328125,41748.15625,42406.78125,43840.28515625,28641855926,43840.28515625
2022-02-08,45293.8671875,42807.8359375,43854.65234375,44118.4453125,33079398868,44118.4453125
2022-02-09,44727.80078125,43232.96875,44096.703125,44338.796875,23245887300,44338.796875
2022-02-10,45661.171875,43402.80859375,44347.80078125,43565.11328125,32142048537,43565.11328125
2022-02-11,43810.83203125,42114.5390625,43571.12890625,42407.9375,26954925781,42407.9375
2022-02-12,42992.55078125,41852.57421875,42412.30078125,42244.46875,18152390304,42244.46875
2022-02-13,42693.0546875,41950.94140625,42236.56640625,42197.515625,14741589015,42197.515625
2022-02-14,42775.77734375,41681.95703125,42157.3984375,42586.91796875,20827783012,42586.91796875
2022-02-15,44667.21875,42491.03515625,42586.46484375,44575.203125,22721659051,44575.203125
2022-02-16,44578.27734375,43456.69140625,44578.27734375,43961.859375,19792547657,43961.859375
2022-02-17,44132.97265625,40249.37109375,43937.0703125,40538.01171875,26246662813,40538.01171875
2022-02-18,40929.15234375,39637.6171875,40552.1328125,40030.9765625,23310007704,40030.9765625
2022-02-19,40418.87890625,39713.05859375,40026.0234375,40122.15625,13736557863,40122.15625
2022-02-20,40119.890625,38112.8125,40118.1015625,38431.37890625,18340576452,38431.37890625
2022-02-21,39394.4375,36950.4765625,38423.2109375,37075.28125,29280402798,37075.28125
2022-02-22,38359.85546875,36488.93359375,37068.76953125,38286.02734375,25493150450,38286.02734375
2022-02-23,39122.39453125,37201.81640625,38285.28125,37296.5703125,21849073843,37296.5703125
2022-02-24,38968.83984375,34459.21875,37278.56640625,38332.609375,46383802093,38332.609375
2022-02-25,39630.32421875,38111.34375,38333.74609375,39214.21875,26545599159,39214.21875
2022-02-26,40005.34765625,38702.53515625,39213.08203125,39105.1484375,17467554129,39105.1484375
2022-02-27,39778.94140625,37268.9765625,39098.69921875,37709.78515625,23450127612,37709.78515625
2022-02-28,43760.45703125,37518.21484375,37706.0,43193.234375,35690014104,43193.234375
2022-03-01,44793.6015625,42952.5859375,43194.50390625,44354.63671875,32479047645,44354.63671875
2022-03-02,45077.578125,43432.8515625,44357.6171875,43924.1171875,29183112630,43924.1171875
2022-03-03,44021.578125,41914.75,43925.1953125,42451.7890625,24967782593,42451.7890625
2022-03-04,42479.61328125,38805.84765625,42458.140625,39137.60546875,28516271427,39137.60546875
2022-03-05,39566.3359375,38777.03515625,39148.44921875,39400.5859375,16975917450,39400.5859375
2022-03-06,39640.17578125,38211.6484375,39404.19921875,38419.984375,19745229902,38419.984375
2022-03-07,39430.2265625,37260.203125,38429.3046875,38062.0390625,28546143503,38062.0390625
2022-03-08,39304.44140625,37957.38671875,38059.90234375,38737.26953125,25776583476,38737.26953125
2022-03-09,42465.671875,38706.09375,38742.81640625,41982.92578125,32284121034,41982.92578125
2022-03-10,42004.7265625,38832.94140625,41974.0703125,39437.4609375,31078064711,39437.4609375
2022-03-11,40081.6796875,38347.43359375,39439.96875,38794.97265625,26364890465,38794.97265625
2022-03-12,39308.59765625,38772.53515625,38794.46484375,38904.01171875,14616450657,38904.01171875
2022-03-13,39209.3515625,37728.14453125,38884.7265625,37849.6640625,17300745310,37849.6640625
2022-03-14,39742.5,37680.734375,37846.31640625,39666.75390625,24322159070,39666.75390625
2022-03-15,39794.62890625,38310.2109375,39664.25,39338.78515625,23934000868,39338.78515625
2022-03-16,41465.453125,39022.34765625,39335.5703125,41143.9296875,39616916192,41143.9296875
2022-03-17,41287.53515625,40662.87109375,41140.84375,40951.37890625,22009601093,40951.37890625
2022-03-18,42195.74609375,40302.3984375,40944.83984375,41801.15625,34421564942,41801.15625
2022-03-19,42316.5546875,41602.66796875,41794.6484375,42190.65234375,19664853187,42190.65234375
2022-03-20,42241.1640625,41004.7578125,42191.40625,41247.82421875,20127946682,41247.82421875
2022-03-21,41454.41015625,40668.04296875,41246.1328125,41077.99609375,24615543271,41077.99609375
2022-03-22,43124.70703125,40948.28125,41074.10546875,42358.80859375,32004652376,42358.80859375
2022-03-23,42893.5078125,41877.5078125,42364.37890625,42892.95703125,25242943069,42892.95703125
2022-03-24,44131.85546875,42726.1640625,42886.65234375,43960.93359375,31042992291,43960.93359375
2022-03-25,44999.4921875,43706.28515625,43964.546875,44348.73046875,30574413034,44348.73046875
2022-03-26,44735.99609375,44166.2734375,44349.859375,44500.828125,16950455995,44500.828125
2022-03-27,46827.546875,44437.29296875,44505.35546875,46820.4921875,28160889722,46820.4921875
2022-03-28,48086.8359375,46690.203125,46821.8515625,47128.00390625,36362175703,47128.00390625
2022-03-29,48022.2890625,47100.4375,47100.4375,47465.73046875,31397059069,47465.73046875
2022-03-30,47655.1484375,46746.2109375,47456.8984375,47062.6640625,29333883962,47062.6640625
2022-03-31,47512.02734375,45390.5390625,47062.1484375,45538.67578125,33327427106,45538.67578125
2022-04-01,46616.2421875,44403.140625,45554.1640625,46281.64453125,38162644287,46281.64453125
2022-04-02,47028.28125,45782.51171875,46285.5,45868.94921875,29336594194,45868.94921875
2022-04-03,47313.4765625,45634.10546875,45859.12890625,46453.56640625,25414397610,46453.56640625
2022-04-04,46791.08984375,45235.81640625,46445.2734375,46622.67578125,32499785455,46622.67578125
2022-04-05,47106.140625,45544.80859375,46624.5078125,45555.9921875,29640604055,45555.9921875
2022-04-06,45544.35546875,43193.953125,45544.35546875,43206.73828125,39393395788,43206.73828125
2022-04-07,43860.69921875,42899.90625,43207.5,43503.84765625,26101973106,43503.84765625
2022-04-08,43903.01953125,42183.2890625,43505.13671875,42287.6640625,27215995394,42287.6640625
2022-04-09,42786.81640625,42183.25390625,42282.078125,42782.13671875,16050772496,42782.13671875
2022-04-10,43376.37890625,42021.20703125,42781.08984375,42207.671875,17654475582,42207.671875
2022-04-11,42424.58984375,39373.05859375,42201.0390625,39521.90234375,33949912166,39521.90234375
2022-04-12,40617.5859375,39388.328125,39533.71484375,40127.18359375,30991500854,40127.18359375
2022-04-13,41430.0546875,39712.74609375,40123.5703125,41166.73046875,27691105228,41166.73046875
2022-04-14,41451.48046875,39695.74609375,41160.21875,39935.515625,24342001973,39935.515625
2022-04-15,40617.72265625,39866.83203125,39939.40234375,40553.46484375,21756855753,40553.46484375
2022-04-16,40633.6796875,40078.42578125,40552.31640625,40424.484375,16833150693,40424.484375
2022-04-17,40570.7265625,39620.89453125,40417.77734375,39716.953125,19087633042,39716.953125
2022-04-18,40986.3203125,38696.19140625,39721.203125,40826.21484375,33705182072,40826.21484375
2022-04-19,41672.9609375,40618.6328125,40828.17578125,41502.75,25303206547,41502.75
2022-04-20,42126.30078125,40961.09765625,41501.74609375,41374.37890625,27819532341,41374.37890625
2022-04-21,42893.58203125,40063.828125,41371.515625,40527.36328125,35372786395,40527.36328125
2022-04-22,40777.7578125,39315.41796875,40525.86328125,39740.3203125,28011716745,39740.3203125
2022-04-23,39935.859375,39352.203125,39738.72265625,39486.73046875,16138021249,39486.73046875
2022-04-24,39845.92578125,39233.5390625,39478.375,39469.29296875,17964398167,39469.29296875
2022-04-25,40491.75390625,38338.37890625,39472.60546875,40458.30859375,35445730570,40458.30859375
2022-04-26,40713.890625,37884.984375,40448.421875,38117.4609375,34569088416,38117.4609375
2022-04-27,39397.91796875,37997.3125,38120.30078125,39241.12109375,30981015184,39241.12109375
2022-04-28,40269.46484375,38941.421875,39241.4296875,39773.828125,33903704907,39773.828125
2022-04-29,39887.26953125,38235.53515625,39768.6171875,38609.82421875,30882994649,38609.82421875
2022-04-30,38771.2109375,37697.94140625,38605.859375,37714.875,23895713731,37714.875
2022-05-01,38627.859375,37585.7890625,37713.265625,38469.09375,27002760110,38469.09375
2022-05-02,39074.97265625,38156.5625,38472.1875,38529.328125,32922642426,38529.328125
2022-05-03,38629.99609375,37585.62109375,38528.109375,37750.453125,27326943244,37750.453125
2022-05-04,39902.94921875,37732.05859375,37748.01171875,39698.37109375,36754404490,39698.37109375
2022-05-05,39789.28125,35856.515625,39695.74609375,36575.140625,43106256317,36575.140625
2022-05-06,36624.359375,35482.1328125,36573.18359375,36040.921875,37795577489,36040.921875
2022-05-07,36129.92578125,34940.82421875,36042.50390625,35501.953125,24375896406,35501.953125
2022-05-08,35502.94140625,33878.96484375,35502.94140625,34059.265625,36763041910,34059.265625
2022-05-09,34222.07421875,30296.953125,34060.015625,30296.953125,63355494961,30296.953125
2022-05-10,32596.30859375,29944.802734375,30273.654296875,31022.90625,59811038817,31022.90625
